instance,size,capacity,best_value,best_weight,time_seconds,status
1,20,1016,1020,1015,0,007,OPTIMAL
2,20,2033,2040,2031,0,056,OPTIMAL
3,20,3050,3060,3050,0,062,OPTIMAL
4,20,4066,4080,4066,0,093,OPTIMAL
5,20,5083,5097,5081,0,026,OPTIMAL
6,20,6100,6117,6100,0,053,OPTIMAL
7,20,7117,7137,7117,0,044,OPTIMAL
8,20,8133,8154,8133,0,062,OPTIMAL
9,20,9150,9171,9150,0,071,OPTIMAL
10,20,10167,10182,10164,0,048,OPTIMAL
11,50,2532,2547,2532,0,043,OPTIMAL
12,50,5064,5088,5064,0,075,OPTIMAL
13,50,7597,7629,7597,0,076,OPTIMAL
14,50,10129,10167,10129,0,066,OPTIMAL
15,50,12661,12702,12661,0,044,OPTIMAL
16,50,15194,15240,15194,0,056,OPTIMAL
17,50,17726,17775,17726,0,009,OPTIMAL
18,50,20258,20310,20258,0,027,OPTIMAL
19,50,22791,22842,22789,0,024,OPTIMAL
20,50,25323,25374,25322,0,044,OPTIMAL
21,100,4795,4827,4795,0,067,OPTIMAL
22,100,9591,9639,9591,0,075,OPTIMAL
23,100,14386,14445,14386,0,076,OPTIMAL
24,100,19182,19251,19181,0,077,OPTIMAL
25,100,23978,24057,23978,0,033,OPTIMAL
26,100,28773,28857,28772,0,056,OPTIMAL
27,100,33569,33660,33569,0,015,OPTIMAL
28,100,38365,38457,38364,0,060,OPTIMAL
29,100,43160,43251,43158,0,040,OPTIMAL
30,100,47956,48048,47955,0,057,OPTIMAL
