instance,size,capacity,best_value,best_weight,time_seconds,status
1,20,1024,1026,1023,0,05,OPTIMAL
2,20,1823,1836,1823,0,01,OPTIMAL
3,20,2435,2445,2435,0,01,OPTIMAL
4,20,3114,3126,3112,0,10,OPTIMAL
5,20,4269,4284,4269,0,02,OPTIMAL
6,20,5262,5280,5261,0,08,OPTIMAL
7,20,7462,7479,7459,0,18,OPTIMAL
8,20,7784,7803,7782,0,04,OPTIMAL
9,20,6786,6801,6786,0,01,OPTIMAL
10,20,8147,8163,8147,0,01,OPTIMAL
11,50,2506,2520,2504,0,11,OPTIMAL
12,50,3898,3921,3896,0,73,OPTIMAL
13,50,7535,7566,7533,1,95,OPTIMAL
14,50,9607,9642,9606,0,30,OPTIMAL
15,50,12243,12282,12241,0,60,OPTIMAL
16,50,12971,13014,12969,1,14,OPTIMAL
17,50,14999,15051,14999,0,01,OPTIMAL
18,50,16658,16710,16658,0,01,OPTIMAL
19,50,22972,23022,22972,0,01,OPTIMAL
20,50,25057,25113,25055,0,39,OPTIMAL
21,100,4570,4602,4569,1,80,OPTIMAL
22,100,9930,9987,9928,0,64,OPTIMAL
23,100,12754,12816,12752,1,55,OPTIMAL
24,100,17026,17097,17026,0,06,OPTIMAL
25,100,19467,19557,19467,0,16,OPTIMAL
26,100,28864,28953,28864,0,06,OPTIMAL
27,100,34107,34206,34105,2,46,OPTIMAL
28,100,37230,37323,37230,0,03,OPTIMAL
29,100,37699,37782,37698,600,00,TIMEOUT
30,100,43791,43872,43791,0,03,OPTIMAL
