Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_FirstFail,19337,60004,22058570,false,-1,-1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_DomOverWDeg,20052,60012,8715465,false,-1,-1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_MILP_ORTools,20995,10,-1,true,-1,-1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_LNS,14507,60000,23146920,false,-1,-1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy,20995,1,0,false,-1,-1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_FirstFail,19144,60000,21079565,false,-1,-1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_DomOverWDeg,18836,60000,12365643,false,-1,-1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_MILP_ORTools,19836,6,-1,true,-1,-1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_LNS,15057,60001,24054672,false,-1,-1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy,19836,0,0,false,-1,-1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_FirstFail,15450,60000,23195946,false,-1,-1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_DomOverWDeg,15141,59999,11250495,false,-1,-1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_MILP_ORTools,15768,144,-1,true,-1,-1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_LNS,15179,60001,18395780,false,-1,-1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy,15712,0,0,false,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_FirstFail,17039,60000,20925419,false,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_DomOverWDeg,16839,60000,12850408,false,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MILP_ORTools,17539,30,-1,true,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_LNS,16835,60000,20205739,false,-1,-1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy,17176,0,0,false,-1,-1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_FirstFail,14904,60000,23345759,false,-1,-1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_DomOverWDeg,14814,60000,11617149,false,-1,-1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_MILP_ORTools,14914,18,-1,true,-1,-1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_LNS,14452,60000,19539077,false,-1,-1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy,14902,0,0,false,-1,-1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_FirstFail,17059,60001,19068091,false,-1,-1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_DomOverWDeg,16848,59999,11633456,false,-1,-1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_MILP_ORTools,17556,34,-1,true,-1,-1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_LNS,16840,60000,20101528,false,-1,-1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy,17188,0,0,false,-1,-1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_FirstFail,14239,60001,21417118,false,-1,-1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_DomOverWDeg,14239,60000,13238777,false,-1,-1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_MILP_ORTools,14239,3,-1,true,-1,-1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_LNS,14235,60000,22188523,false,-1,-1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy,14235,1,0,false,-1,-1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_FirstFail,18990,60000,18915771,false,-1,-1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_DomOverWDeg,18487,60000,10859741,false,-1,-1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_MILP_ORTools,19676,16,-1,true,-1,-1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_LNS,15572,60000,18893577,false,-1,-1
