Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
02StronglyCorrelated_n00200_R01000_s000,moyen,Unknown,200,51563,104158,124158,Complete_RatioFirst,65363,300000,6979923,false,-1,-1
02StronglyCorrelated_n00200_R01000_s000,moyen,Unknown,200,51563,104158,124158,Complete_DomOverWDeg,62363,300001,8223964,false,-1,-1
02StronglyCorrelated_n00200_R01000_s000,moyen,Unknown,200,51563,104158,124158,Complete_MILP_ORTools,65361,25,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s000,moyen,Unknown,200,51563,104158,124158,Probabilistic_Greedy,62452,6,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s000,moyen,Unknown,200,51563,104158,124158,Incomplete_LNS,60763,1,93,false,-1,-1
02StronglyCorrelated_n00200_R01000_s001,moyen,Unknown,200,48106,97175,117175,Complete_RatioFirst,62206,11888,429938,true,-1,-1
02StronglyCorrelated_n00200_R01000_s001,moyen,Unknown,200,48106,97175,117175,Complete_DomOverWDeg,58906,300001,12166241,false,-1,-1
02StronglyCorrelated_n00200_R01000_s001,moyen,Unknown,200,48106,97175,117175,Complete_MILP_ORTools,62206,21,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s001,moyen,Unknown,200,48106,97175,117175,Probabilistic_Greedy,59335,1,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s001,moyen,Unknown,200,48106,97175,117175,Incomplete_LNS,57703,2,97,false,-1,-1
02StronglyCorrelated_n00200_R01000_s002,moyen,Unknown,200,49000,98980,118980,Complete_RatioFirst,63100,300000,7827600,false,-1,-1
02StronglyCorrelated_n00200_R01000_s002,moyen,Unknown,200,49000,98980,118980,Complete_DomOverWDeg,59300,300000,15276057,false,-1,-1
02StronglyCorrelated_n00200_R01000_s002,moyen,Unknown,200,49000,98980,118980,Complete_MILP_ORTools,63098,20,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s002,moyen,Unknown,200,49000,98980,118980,Probabilistic_Greedy,60197,1,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s002,moyen,Unknown,200,49000,98980,118980,Incomplete_LNS,58093,1,92,false,-1,-1
02StronglyCorrelated_n00200_R01000_s003,moyen,Unknown,200,50855,102729,122729,Complete_RatioFirst,64755,300000,17204134,false,-1,-1
02StronglyCorrelated_n00200_R01000_s003,moyen,Unknown,200,50855,102729,122729,Complete_DomOverWDeg,61455,300000,14753287,false,-1,-1
02StronglyCorrelated_n00200_R01000_s003,moyen,Unknown,200,50855,102729,122729,Complete_MILP_ORTools,64754,20,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s003,moyen,Unknown,200,50855,102729,122729,Probabilistic_Greedy,61732,2,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s003,moyen,Unknown,200,50855,102729,122729,Incomplete_LNS,60939,1,102,false,-1,-1
02StronglyCorrelated_n00200_R01000_s004,moyen,Unknown,200,49428,99846,119846,Complete_RatioFirst,63728,658,30733,true,-1,-1
02StronglyCorrelated_n00200_R01000_s004,moyen,Unknown,200,49428,99846,119846,Complete_DomOverWDeg,60228,300001,14988632,false,-1,-1
02StronglyCorrelated_n00200_R01000_s004,moyen,Unknown,200,49428,99846,119846,Complete_MILP_ORTools,63727,31,-1,true,-1,-1
02StronglyCorrelated_n00200_R01000_s004,moyen,Unknown,200,49428,99846,119846,Probabilistic_Greedy,60697,2,0,false,-1,-1
02StronglyCorrelated_n00200_R01000_s004,moyen,Unknown,200,49428,99846,119846,Incomplete_LNS,60223,2,109,false,-1,-1
02StronglyCorrelated_n00200_R01000_s005,moyen,Unknown,200,53104,107271,127271,Complete_RatioFirst,66904,87,3564,true,-1,-1
02StronglyCorrelated_n00200_R01000_s005,moyen,Unknown,200,53104,107271,127271,Complete_DomOverWDeg,63904,300000,16094475,false,-1,-1
